Version,Kind
intstr,IntOrString
resource,Quantity
runtime,RawExtension
v1,APIGroup
v1,APIGroupList
v1,APIResource
v1,APIResourceList
v1,APIService
v1,APIServiceCondition
v1,APIServiceList
v1,APIServiceSpec
v1,APIServiceStatus
v1,APIVersions
v1,AWSElasticBlockStoreVolumeSource
v1,Affinity
v1,AggregationRule
v1,AppArmorProfile
v1,AttachedVolume
v1,AuditAnnotation
v1,AzureDiskVolumeSource
v1,AzureFilePersistentVolumeSource
v1,AzureFileVolumeSource
v1,Binding
v1,BoundObjectReference
v1,CSIDriver
v1,CSIDriverList
v1,CSIDriverSpec
v1,CSINode
v1,CSINodeDriver
v1,CSINodeList
v1,CSINodeSpec
v1,CSIPersistentVolumeSource
v1,CSIStorageCapacity
v1,CSIStorageCapacityList
v1,CSIVolumeSource
v1,Capabilities
v1,CephFSPersistentVolumeSource
v1,CephFSVolumeSource
v1,CertificateSigningRequest
v1,CertificateSigningRequestCondition
v1,CertificateSigningRequestList
v1,CertificateSigningRequestSpec
v1,CertificateSigningRequestStatus
v1,CinderPersistentVolumeSource
v1,CinderVolumeSource
v1,ClaimSource
v1,ClientIPConfig
v1,ClusterRole
v1,ClusterRoleBinding
v1,ClusterRoleBindingList
v1,ClusterRoleList
v1,ClusterTrustBundleProjection
v1,ComponentCondition
v1,ComponentStatus
v1,ComponentStatusList
v1,Condition
v1,ConfigMap
v1,ConfigMapEnvSource
v1,ConfigMapKeySelector
v1,ConfigMapList
v1,ConfigMapNodeConfigSource
v1,ConfigMapProjection
v1,ConfigMapVolumeSource
v1,Container
v1,ContainerImage
v1,ContainerPort
v1,ContainerResizePolicy
v1,ContainerState
v1,ContainerStateRunning
v1,ContainerStateTerminated
v1,ContainerStateWaiting
v1,ContainerStatus
v1,ControllerRevision
v1,ControllerRevisionList
v1,CronJob
v1,CronJobList
v1,CronJobSpec
v1,CronJobStatus
v1,CrossVersionObjectReference
v1,CustomResourceColumnDefinition
v1,CustomResourceConversion
v1,CustomResourceDefinition
v1,CustomResourceDefinitionCondition
v1,CustomResourceDefinitionList
v1,CustomResourceDefinitionNames
v1,CustomResourceDefinitionSpec
v1,CustomResourceDefinitionStatus
v1,CustomResourceDefinitionVersion
v1,CustomResourceSubresourceScale
v1,CustomResourceSubresourceStatus
v1,CustomResourceSubresources
v1,CustomResourceValidation
v1,DaemonEndpoint
v1,DaemonSet
v1,DaemonSetCondition
v1,DaemonSetList
v1,DaemonSetSpec
v1,DaemonSetStatus
v1,DaemonSetUpdateStrategy
v1,DeleteOptions
v1,Deployment
v1,DeploymentCondition
v1,DeploymentList
v1,DeploymentSpec
v1,DeploymentStatus
v1,DeploymentStrategy
v1,DownwardAPIProjection
v1,DownwardAPIVolumeFile
v1,DownwardAPIVolumeSource
v1,EmptyDirVolumeSource
v1,Endpoint
v1,EndpointAddress
v1,EndpointConditions
v1,EndpointHints
v1,EndpointPort
v1,EndpointSlice
v1,EndpointSliceList
v1,EndpointSubset
v1,Endpoints
v1,EndpointsList
v1,EnvFromSource
v1,EnvVar
v1,EnvVarSource
v1,EphemeralContainer
v1,EphemeralVolumeSource
v1,Event
v1,EventList
v1,EventSeries
v1,EventSource
v1,Eviction
v1,ExecAction
v1,ExemptPriorityLevelConfiguration
v1,ExpressionWarning
v1,ExternalDocumentation
v1,FCVolumeSource
v1,FieldsV1
v1,FlexPersistentVolumeSource
v1,FlexVolumeSource
v1,FlockerVolumeSource
v1,FlowDistinguisherMethod
v1,FlowSchema
v1,FlowSchemaCondition
v1,FlowSchemaList
v1,FlowSchemaSpec
v1,FlowSchemaStatus
v1,ForZone
v1,GCEPersistentDiskVolumeSource
v1,GRPCAction
v1,GitRepoVolumeSource
v1,GlusterfsPersistentVolumeSource
v1,GlusterfsVolumeSource
v1,GroupSubject
v1,GroupVersionForDiscovery
v1,HTTPGetAction
v1,HTTPHeader
v1,HTTPIngressPath
v1,HTTPIngressRuleValue
v1,HorizontalPodAutoscaler
v1,HorizontalPodAutoscalerList
v1,HorizontalPodAutoscalerSpec
v1,HorizontalPodAutoscalerStatus
v1,HostAlias
v1,HostIP
v1,HostPathVolumeSource
v1,IPBlock
v1,ISCSIPersistentVolumeSource
v1,ISCSIVolumeSource
v1,Ingress
v1,IngressBackend
v1,IngressClass
v1,IngressClassList
v1,IngressClassParametersReference
v1,IngressClassSpec
v1,IngressList
v1,IngressLoadBalancerIngress
v1,IngressLoadBalancerStatus
v1,IngressPortStatus
v1,IngressRule
v1,IngressServiceBackend
v1,IngressSpec
v1,IngressStatus
v1,IngressTLS
v1,JSON
v1,JSONSchemaProps
v1,JSONSchemaPropsOrArray
v1,JSONSchemaPropsOrBool
v1,JSONSchemaPropsOrStringArray
v1,Job
v1,JobCondition
v1,JobList
v1,JobSpec
v1,JobStatus
v1,JobTemplateSpec
v1,KeyToPath
v1,LabelSelector
v1,LabelSelectorRequirement
v1,Lease
v1,LeaseList
v1,LeaseSpec
v1,Lifecycle
v1,LifecycleHandler
v1,LimitRange
v1,LimitRangeItem
v1,LimitRangeList
v1,LimitRangeSpec
v1,LimitResponse
v1,LimitedPriorityLevelConfiguration
v1,ListMeta
v1,LoadBalancerIngress
v1,LoadBalancerStatus
v1,LocalObjectReference
v1,LocalSubjectAccessReview
v1,LocalVolumeSource
v1,ManagedFieldsEntry
v1,MatchCondition
v1,MatchResources
v1,MicroTime
v1,ModifyVolumeStatus
v1,MutatingWebhook
v1,MutatingWebhookConfiguration
v1,MutatingWebhookConfigurationList
v1,NFSVolumeSource
v1,NamedRuleWithOperations
v1,Namespace
v1,NamespaceCondition
v1,NamespaceList
v1,NamespaceSpec
v1,NamespaceStatus
v1,NetworkPolicy
v1,NetworkPolicyEgressRule
v1,NetworkPolicyIngressRule
v1,NetworkPolicyList
v1,NetworkPolicyPeer
v1,NetworkPolicyPort
v1,NetworkPolicySpec
v1,Node
v1,NodeAddress
v1,NodeAffinity
v1,NodeCondition
v1,NodeConfigSource
v1,NodeConfigStatus
v1,NodeDaemonEndpoints
v1,NodeList
v1,NodeRuntimeHandler
v1,NodeRuntimeHandlerFeatures
v1,NodeSelector
v1,NodeSelectorRequirement
v1,NodeSelectorTerm
v1,NodeSpec
v1,NodeStatus
v1,NodeSystemInfo
v1,NonResourceAttributes
v1,NonResourcePolicyRule
v1,NonResourceRule
v1,ObjectFieldSelector
v1,ObjectMeta
v1,ObjectReference
v1,Overhead
v1,OwnerReference
v1,ParamKind
v1,ParamRef
v1,Patch
v1,PersistentVolume
v1,PersistentVolumeClaim
v1,PersistentVolumeClaimCondition
